timestamp,api_type,complexity,repository,execution,time_ms,size_bytes,status
2025-11-22T13:12:23.284222,GraphQL,medium,tensorflow/tensorflow,87,465.51,2151,200
2025-11-22T13:12:23.703921,GraphQL,simple,nodejs/node,9,317.64,249,200
2025-11-22T13:12:25.244705,REST,medium,microsoft/vscode,77,1438.55,61854,200
2025-11-22T13:12:25.804760,GraphQL,medium,kubernetes/kubernetes,34,458.62,1814,200
2025-11-22T13:12:26.421089,GraphQL,complex,facebook/react,17,515.88,1192,200
2025-11-22T13:12:26.862761,REST,simple,torvalds/linux,25,340.42,5016,200
2025-11-22T13:12:27.338248,GraphQL,simple,django/django,70,373.94,257,200
2025-11-22T13:12:28.189694,GraphQL,complex,facebook/react,40,749.83,1192,200
2025-11-22T13:12:28.620575,GraphQL,simple,nodejs/node,67,329.42,249,200
2025-11-22T13:12:29.760525,REST,medium,python/cpython,75,1039.08,47447,200
2025-11-22T13:12:30.825942,GraphQL,complex,python/cpython,3,964.47,1167,200
2025-11-22T13:12:31.508284,GraphQL,complex,nodejs/node,56,581.66,1208,200
2025-11-22T13:12:32.151466,GraphQL,medium,tensorflow/tensorflow,97,541.95,2151,200
2025-11-22T13:12:32.592453,GraphQL,simple,nodejs/node,14,339.26,249,200
2025-11-22T13:12:33.410531,REST,medium,torvalds/linux,56,716.85,42339,200
2025-11-22T13:12:34.510195,REST,medium,angular/angular,55,997.27,66043,200
2025-11-22T13:12:35.874434,REST,complex,torvalds/linux,15,1261.92,24019,200
2025-11-22T13:12:36.652974,GraphQL,medium,microsoft/vscode,52,677.71,1582,200
2025-11-22T13:12:38.241184,REST,complex,vuejs/vue,11,1485.11,26712,200
2025-11-22T13:12:38.635362,GraphQL,simple,vuejs/vue,99,293.43,281,200
2025-11-22T13:12:39.397458,GraphQL,complex,python/cpython,99,660.97,1167,200
2025-11-22T13:12:39.887997,REST,simple,django/django,58,389.49,6147,200
2025-11-22T13:12:40.391761,GraphQL,medium,facebook/react,96,402.79,1798,200
2025-11-22T13:12:40.951614,REST,simple,facebook/react,43,458.4,6156,200
2025-11-22T13:12:41.391097,GraphQL,simple,kubernetes/kubernetes,37,337.89,258,200
2025-11-22T13:12:42.044777,GraphQL,medium,kubernetes/kubernetes,35,552.46,1814,200
2025-11-22T13:12:43.031470,REST,medium,facebook/react,23,884.59,44680,200
2025-11-22T13:12:43.475392,REST,simple,torvalds/linux,84,342.4,5016,200
2025-11-22T13:12:44.038782,REST,simple,django/django,96,461.8,6147,200
2025-11-22T13:12:44.913927,GraphQL,complex,microsoft/vscode,11,773.59,1144,200
2025-11-22T13:12:45.577566,GraphQL,medium,python/cpython,49,562.95,1764,200
2025-11-22T13:12:46.171834,REST,simple,tensorflow/tensorflow,36,493.04,6689,200
2025-11-22T13:12:47.420343,REST,medium,facebook/react,33,1147.54,44680,200
2025-11-22T13:12:49.092906,REST,complex,python/cpython,62,1569.58,29477,200
2025-11-22T13:12:49.775229,GraphQL,simple,microsoft/vscode,80,580.73,228,200
2025-11-22T13:12:50.222555,GraphQL,simple,nodejs/node,83,345.7,249,200
2025-11-22T13:12:52.052744,REST,complex,tensorflow/tensorflow,42,1727.42,32060,200
2025-11-22T13:12:52.596287,GraphQL,medium,nodejs/node,57,442.08,1714,200
2025-11-22T13:12:53.710593,GraphQL,complex,angular/angular,19,1012.03,1142,200
2025-11-22T13:12:56.434424,REST,complex,microsoft/vscode,1,2620.07,39318,200
2025-11-22T13:12:57.102290,GraphQL,medium,tensorflow/tensorflow,54,567.09,2151,200
2025-11-22T13:12:57.794668,GraphQL,complex,nodejs/node,45,591.74,1208,200
2025-11-22T13:12:59.147475,REST,complex,torvalds/linux,34,1251.05,24019,200
2025-11-22T13:12:59.745382,GraphQL,simple,microsoft/vscode,3,496.45,228,200
2025-11-22T13:13:00.443344,REST,simple,angular/angular,85,596.62,6337,200
2025-11-22T13:13:00.918696,GraphQL,medium,facebook/react,80,374.44,1798,200
2025-11-22T13:13:01.562235,GraphQL,medium,python/cpython,9,542.3,1764,200
2025-11-22T13:13:02.014391,GraphQL,simple,angular/angular,17,350.49,247,200
2025-11-22T13:13:02.553993,REST,simple,facebook/react,65,438.95,6156,200
2025-11-22T13:13:03.311609,REST,simple,microsoft/vscode,39,656.78,6455,200
2025-11-22T13:13:03.797004,REST,simple,django/django,71,384.63,6147,200
2025-11-22T13:13:04.307218,GraphQL,simple,facebook/react,6,364.93,256,200
2025-11-22T13:13:05.938497,REST,complex,vuejs/vue,92,1530.14,26712,200
2025-11-22T13:13:07.402951,REST,medium,microsoft/vscode,5,1363.63,61854,200
2025-11-22T13:13:07.896286,GraphQL,medium,vuejs/vue,11,392.62,1808,200
2025-11-22T13:13:09.716628,REST,complex,kubernetes/kubernetes,30,1718.58,59096,200
2025-11-22T13:13:10.119061,GraphQL,simple,vuejs/vue,40,302.04,281,200
2025-11-22T13:13:10.683905,GraphQL,medium,python/cpython,90,464.27,1764,200
2025-11-22T13:13:11.595909,GraphQL,complex,kubernetes/kubernetes,87,811.51,1146,200
2025-11-22T13:13:12.151392,REST,simple,tensorflow/tensorflow,12,454.86,6689,200
2025-11-22T13:13:13.014030,REST,medium,django/django,15,761.66,40997,200
2025-11-22T13:13:14.140165,REST,medium,angular/angular,19,1024.98,66043,200
2025-11-22T13:13:15.373711,GraphQL,complex,kubernetes/kubernetes,92,1132.91,1146,200
2025-11-22T13:13:15.807892,GraphQL,simple,kubernetes/kubernetes,53,332.87,258,200
2025-11-22T13:13:16.238989,GraphQL,medium,torvalds/linux,45,329.84,145,200
2025-11-22T13:13:16.822145,GraphQL,simple,microsoft/vscode,57,482.6,228,200
2025-11-22T13:13:17.282851,GraphQL,simple,django/django,60,360.29,257,200
2025-11-22T13:13:17.803007,REST,simple,facebook/react,20,418.61,6156,200
2025-11-22T13:13:18.919588,REST,medium,nodejs/node,87,1015.17,53169,200
2025-11-22T13:13:20.307598,REST,complex,torvalds/linux,54,1286.6,24019,200
2025-11-22T13:13:21.217150,GraphQL,complex,angular/angular,70,808.04,1142,200
2025-11-22T13:13:21.863836,GraphQL,complex,django/django,18,546.22,548,200
2025-11-22T13:13:22.902803,REST,medium,facebook/react,34,938.38,44680,200
2025-11-22T13:13:23.545502,GraphQL,medium,python/cpython,91,541.52,1764,200
2025-11-22T13:13:23.979001,GraphQL,simple,vuejs/vue,1,332.42,281,200
2025-11-22T13:13:24.482847,REST,simple,angular/angular,86,402.71,6337,200
2025-11-22T13:13:25.264430,GraphQL,complex,kubernetes/kubernetes,30,680.13,1146,200
2025-11-22T13:13:26.097397,GraphQL,medium,microsoft/vscode,22,731.37,1582,200
2025-11-22T13:13:27.540109,REST,complex,torvalds/linux,31,1339.54,24019,200
2025-11-22T13:13:28.252883,GraphQL,complex,nodejs/node,37,611.84,1208,200
2025-11-22T13:13:29.841413,REST,complex,python/cpython,73,1487.56,29477,200
